Salinas 高光谱数据集（Salinas.mat）由 AVIRIS 传感器在加利福尼亚州萨利纳斯山谷采集。
Nr.	Name	Start WL	Middle WL	End WL	Sp.Rg.	Spat. Res.	Comment
1		355.15	360	364.85	9.7	20	
2		364.85	369.7	374.55	9.7	20	
3		374.55	379.4	384.25	9.7	20	
4		384.25	389.1	393.95	9.7	20	
5		393.95	398.8	403.65	9.7	20	
6		403.65	408.5	413.35	9.7	20	
7		413.35	418.2	423.05	9.7	20	
8		423.05	427.9	432.75	9.7	20	
9		432.75	437.6	442.45	9.7	20	
10		442.45	447.3	452.15	9.7	20	
11		452.15	457	461.85	9.7	20	
12		461.85	466.7	471.55	9.7	20	
13		471.55	476.4	481.25	9.7	20	
14		481.25	486.1	490.95	9.7	20	
15		490.95	495.8	500.65	9.7	20	
16		500.65	505.5	510.35	9.7	20	
17		510.35	515.2	520.05	9.7	20	
18		520.05	524.9	529.75	9.7	20	
19		529.75	534.6	539.45	9.7	20	
20		539.45	544.3	549.15	9.7	20	
21		549.15	554	558.85	9.7	20	
22		558.85	563.7	568.55	9.7	20	
23		568.55	573.4	578.25	9.7	20	
24		578.25	583.1	587.95	9.7	20	
25		587.95	592.8	597.65	9.7	20	
26		597.65	602.5	607.35	9.7	20	
27		607.35	612.2	617.05	9.7	20	
28		617.05	621.9	626.75	9.7	20	
29		626.75	631.6	636.45	9.7	20	
30		636.45	641.3	646.15	9.7	20	
31		646.15	651	655.85	9.7	20	
32		655.85	660.7	665.55	9.7	20	
33		665.55	660	664.75	9.5	20	
34		664.75	669.5	674.25	9.5	20	
35		674.25	679	683.75	9.5	20	
36		683.75	688.5	693.25	9.5	20	
37		693.25	698	702.75	9.5	20	
38		702.75	707.5	712.25	9.5	20	
39		712.25	717	721.75	9.5	20	
40		721.75	726.5	731.25	9.5	20	
41		731.25	736	740.75	9.5	20	
42		740.75	745.5	750.25	9.5	20	
43		750.25	755	759.75	9.5	20	
44		759.75	764.5	769.25	9.5	20	
45		769.25	774	778.75	9.5	20	
46		778.75	783.5	788.25	9.5	20	
47		788.25	793	797.75	9.5	20	
48		797.75	802.5	807.25	9.5	20	
49		807.25	812	816.75	9.5	20	
50		816.75	821.5	826.25	9.5	20	
51		826.25	831	835.75	9.5	20	
52		835.75	840.5	845.25	9.5	20	
53		845.25	850	854.75	9.5	20	
54		854.75	859.5	864.25	9.5	20	
55		864.25	869	873.75	9.5	20	
56		873.75	878.5	883.25	9.5	20	
57		883.25	888	892.75	9.5	20	
58		892.75	897.5	902.25	9.5	20	
59		902.25	907	911.75	9.5	20	
60		911.75	916.5	921.25	9.5	20	
61		921.25	926	930.75	9.5	20	
62		930.75	935.5	940.25	9.5	20	
63		940.25	945	949.75	9.5	20	
64		949.75	954.5	959.25	9.5	20	
65		959.25	964	968.75	9.5	20	
66		968.75	973.5	978.25	9.5	20	
67		978.25	983	987.75	9.5	20	
68		987.75	992.5	997.25	9.5	20	
69		997.25	1002	1006.75	9.5	20	
70		1006.75	1011.5	1016.25	9.5	20	
71		1016.25	1021	1025.75	9.5	20	
72		1025.75	1030.5	1035.25	9.5	20	
73		1035.25	1040	1044.75	9.5	20	
74		1044.75	1049.5	1054.25	9.5	20	
75		1054.25	1059	1063.75	9.5	20	
76		1063.75	1068.5	1073.25	9.5	20	
77		1073.25	1078	1082.75	9.5	20	
78		1082.75	1087.5	1092.25	9.5	20	
79		1092.25	1097	1101.75	9.5	20	
80		1101.75	1106.5	1111.25	9.5	20	
81		1111.25	1116	1120.75	9.5	20	
82		1120.75	1125.5	1130.25	9.5	20	
83		1130.25	1135	1139.75	9.5	20	
84		1139.75	1144.5	1149.25	9.5	20	
85		1149.25	1154	1158.75	9.5	20	
86		1158.75	1163.5	1168.25	9.5	20	
87		1168.25	1173	1177.75	9.5	20	
88		1177.75	1182.5	1187.25	9.5	20	
89		1187.25	1192	1196.75	9.5	20	
90		1196.75	1201.5	1206.25	9.5	20	
91		1206.25	1211	1215.75	9.5	20	
92		1215.75	1220.5	1225.25	9.5	20	
93		1225.25	1230	1234.75	9.5	20	
94		1234.75	1239.5	1244.25	9.5	20	
95		1244.25	1249	1253.75	9.5	20	
96		1253.75	1258.5	1263.25	9.5	20	
97		1255	1260	1265	10	20	
98		1265	1270	1275	10	20	
99		1275	1280	1285	10	20	
100		1285	1290	1295	10	20	
101		1295	1300	1305	10	20	
102		1305	1310	1315	10	20	
103		1315	1320	1325	10	20	
104		1325	1330	1335	10	20	
105		1335	1340	1345	10	20	
106		1345	1350	1355	10	20	
107		1355	1360	1365	10	20	
108		1365	1370	1375	10	20	
109		1375	1380	1385	10	20	
110		1385	1390	1395	10	20	
111		1395	1400	1405	10	20	
112		1405	1410	1415	10	20	
113		1415	1420	1425	10	20	
114		1425	1430	1435	10	20	
115		1435	1440	1445	10	20	
116		1445	1450	1455	10	20	
117		1455	1460	1465	10	20	
118		1465	1470	1475	10	20	
119		1475	1480	1485	10	20	
120		1485	1490	1495	10	20	
121		1495	1500	1505	10	20	
122		1505	1510	1515	10	20	
123		1515	1520	1525	10	20	
124		1525	1530	1535	10	20	
125		1535	1540	1545	10	20	
126		1545	1550	1555	10	20	
127		1555	1560	1565	10	20	
128		1565	1570	1575	10	20	
129		1575	1580	1585	10	20	
130		1585	1590	1595	10	20	
131		1595	1600	1605	10	20	
132		1605	1610	1615	10	20	
133		1615	1620	1625	10	20	
134		1625	1630	1635	10	20	
135		1635	1640	1645	10	20	
136		1645	1650	1655	10	20	
137		1655	1660	1665	10	20	
138		1665	1670	1675	10	20	
139		1675	1680	1685	10	20	
140		1685	1690	1695	10	20	
141		1695	1700	1705	10	20	
142		1705	1710	1715	10	20	
143		1715	1720	1725	10	20	
144		1725	1730	1735	10	20	
145		1735	1740	1745	10	20	
146		1745	1750	1755	10	20	
147		1755	1760	1765	10	20	
148		1765	1770	1775	10	20	
149		1775	1780	1785	10	20	
150		1785	1790	1795	10	20	
151		1795	1800	1805	10	20	
152		1805	1810	1815	10	20	
153		1815	1820	1825	10	20	
154		1825	1830	1835	10	20	
155		1835	1840	1845	10	20	
156		1845	1850	1855	10	20	
157		1855	1860	1865	10	20	
158		1865	1870	1875	10	20	
159		1875	1880	1885	10	20	
160		1885	1890	1895	10	20	
161		1875	1880	1885	10	20	
162		1885	1890	1895	10	20	
163		1895	1900	1905	10	20	
